file,shape,slices,voxel_spacing_x,voxel_spacing_y,voxel_spacing_z,dtype,min,max,mean,std
LIDC-IDRI-0001.nii.gz,"(512, 512, 133)",133,0.703125,0.703125,2.5,float64,-1024.0,4095.0,197.05607108783005,773.4047669687989
LIDC-IDRI-0002.nii.gz,"(512, 512, 261)",261,0.681641,0.681641,1.25,float64,-2000.0,2776.0,10.436454831412012,1129.5861807967667
LIDC-IDRI-0003.nii.gz,"(512, 512, 140)",140,0.820312,0.820312,2.5,float64,-1024.0,6916.0,221.35802236284528,783.7253226638991
LIDC-IDRI-0004.nii.gz,"(512, 512, 241)",241,0.822266,0.822266,1.25,float64,-2000.0,4095.0,-3.6777755294103347,1139.9194963192945
LIDC-IDRI-0005.nii.gz,"(512, 512, 133)",133,0.664062,0.664062,2.5,float64,-1024.0,4095.0,228.71688424017196,786.0857741823611
LIDC-IDRI-0006.nii.gz,"(512, 512, 133)",133,0.625,0.625,2.5,float64,-1024.0,4095.0,296.33118206397035,805.5465224318859
LIDC-IDRI-0007.nii.gz,"(512, 512, 145)",145,0.78125,0.78125,2.5,float64,-1024.0,4095.0,118.23488143394734,745.7048826642434
LIDC-IDRI-0008.nii.gz,"(512, 512, 133)",133,0.78125,0.78125,2.5,float64,-1024.0,4095.0,235.5445110349727,785.4796204750493
LIDC-IDRI-0009.nii.gz,"(512, 512, 256)",256,0.78125,0.78125,1.25,float64,-2000.0,2773.0,-125.76929464936256,1060.8861747064404
LIDC-IDRI-0010.nii.gz,"(512, 512, 277)",277,0.878906,0.878906,1.25,float64,-2000.0,4095.0,-75.33668633746757,1086.376935102514
LIDC-IDRI-0011.nii.gz,"(512, 512, 128)",128,0.742188,0.742188,2.5,float64,-1024.0,4095.0,199.1820144355297,777.448852812441
LIDC-IDRI-0012.nii.gz,"(512, 512, 128)",128,0.742188,0.742188,2.5,float64,-1024.0,4095.0,235.66706427931786,780.9387940198383
LIDC-IDRI-0013.nii.gz,"(512, 512, 125)",125,0.585938,0.585938,2.5,float64,-1024.0,4095.0,276.30420751953125,803.9765846210814
LIDC-IDRI-0014.nii.gz,"(512, 512, 114)",114,0.664062,0.664062,2.5,float64,-1024.0,4095.0,167.41227193464312,761.890442226065
LIDC-IDRI-0015.nii.gz,"(512, 512, 209)",209,0.693359,0.693359,1.25,float64,-2000.0,4095.0,-41.63003286334316,1107.2592248623043
LIDC-IDRI-0016.nii.gz,"(512, 512, 141)",141,0.585938,0.585938,2.5,float64,-1024.0,4095.0,284.2067594054743,797.9359554066252
LIDC-IDRI-0017.nii.gz,"(512, 512, 238)",238,0.728516,0.728516,1.25,float64,-2000.0,3490.0,137.28609468155548,1176.198435736128
LIDC-IDRI-0018.nii.gz,"(512, 512, 127)",127,0.664062,0.664062,2.5,float64,-1024.0,4095.0,331.94212818896676,820.4177336022772
LIDC-IDRI-0019.nii.gz,"(512, 512, 305)",305,0.806641,0.806641,1.25,float64,-2000.0,4095.0,-49.61024497610624,1102.0651502405185
LIDC-IDRI-0020.nii.gz,"(512, 512, 225)",225,0.828125,0.828125,1.25,float64,-2000.0,4095.0,-13.707711791992187,1113.2901147642783
LIDC-IDRI-0021.nii.gz,"(512, 512, 149)",149,0.742188,0.742188,2.5,float64,-1024.0,4095.0,206.8413184249161,782.1201192266019
LIDC-IDRI-0022.nii.gz,"(512, 512, 133)",133,0.703125,0.703125,2.5,float64,-1024.0,4095.0,279.5138846089069,813.2350751012817
LIDC-IDRI-0023.nii.gz,"(512, 512, 137)",137,0.742188,0.742188,2.5,float64,-1024.0,4095.0,246.24607008217026,785.7345485887975
LIDC-IDRI-0024.nii.gz,"(512, 512, 133)",133,0.78125,0.78125,2.5,float64,-1024.0,4095.0,297.76625043825993,810.0572615851772
LIDC-IDRI-0025.nii.gz,"(512, 512, 265)",265,0.943359,0.943359,1.25,float64,-2000.0,4095.0,-72.94595037496315,1084.1906526505766
